SIC,Industry_Code,LFS_Description,ONS_Description
452,93.01,"Washing,dry cleaning textiles,furs",Washing and dry cleaning of textile and fur products
453,93.02,"Hairdressing,oth beauty treatment",Hairdressing and other beauty treatment
454,93.03,Funeral etc,Funeral and related activities
455,93.04,Physical well-being activities,Physical well-being activities
456,93.05,Other service activities,Other service activities not elsewhere classified
457,95.00,Priv. hhlds with emplyed persons,Private households with employed persons
458,99.00,Extra-territorial organisations,Extra-territorial organisations and bodies
459,,"Inadequate description,No reply","Inadequate description,No reply"
460,,"No Answer/NA","No Answer/NA"
461,,Workplace outside UK,Workplace outside UK
462,,Did Not Answer,Did Not Answer
